neighbourhood,latitude,longitude
Baixo Gávea,-22.97378125,-43.2264527152946
Baixo Leblon,-22.985446854558802,-43.227879368551314
Baixo Botafogo,-22.951085,-43.1843032
Baixo Tijuca,-22.91913939809283,-43.23439330259839
Baixo Méier,-22.900953606649882,-43.27969301545062
Baixo Parque Leopoldina,-22.885181810219528,-43.45421103270335
Baixo Jabour,-22.88291639992888,-43.49118111579378
Baixo Marechal,-22.863507768191624,-43.37268259610632
Baixo Madureira,-22.87643029680847,-43.33519521182295
Baixo Valqueire,-22.879311619582538,-43.36646051488665
Baixo São João de Meriti,-22.77933794809583,-43.36841660034113
Baixo Vista Alegre,-22.83070879602245,-43.319063765868435
Baixo Ilha do Governador,-22.815037875060668,-43.18602203306572
Baixo Maria da Graça,-22.88289154408372,-43.2612210803531
Baixo Copacabana,-22.975980543193703,-43.18913312418292
Baixo Barra da Tijuca,-23.010100699179652,-43.304676713689716
Baixo Recreio dos Bandeirantes,-23.018101866567886,-43.45986053080038
Baixo Vargem Grande,-22.985026086507013,-43.49766412254922
Baixo Bangu,-22.874624554369568,-43.462500991188804
Baixo Anil,-22.951590605626187,-43.338718977437026
Baixo Tanque,-22.916153738866978,-43.36224495106924
Baixo São Francisco (Niterói),-22.91953999530577,-43.094040246852295
Baixo Icaraí,-22.9041160834135,-43.102269806450714
Baixo São Cristóvão,-22.889866736132056,-43.229479146637985
Baixo Del Castilho,-22.878504887132095,-43.272364401082044
Baixo Olaria,-22.843435294891602,-43.2628493853882
Baixo Penha,-22.840496163039237,-43.27959099298483
Baixo Grajaú,-22.92408307759683,-43.25558386879872
Baixo Uruguai,-22.92748603737898,-43.24441302377879
Baixo Afonso Pena,-22.918126059054956,-43.21822436248222
Baixo Praça da Bandeira,-22.912984780497805,-43.21438251245396
Baixo Cachambi,-22.887268969695477,-43.27624552917811
Baixo Vila da Penha,-22.837345239517077,-43.31493336575957
Baixo Campo Grande,-22.90147543889929,-43.567481642916256
Baixo Santa Cruz,-22.925924569639218,-43.68606891992715
Baixo Freguesia,-22.937603083434613,-43.33734294622328
Lapa,-22.913209947427312,-43.18137276523141
Pedra do Sal,-22.897588995677243,-43.18500902167257
Arco do Teles,-22.902372605460954,-43.174958731377615
Baixo Flamengo,-22.928342052460675,-43.177057423268614
Baixo Largo do Machado,-22.93083206384874,-43.1787060577496
Baixo São Salvador,-22.933990955574902,-43.18043132101255
Baixo Ipanema,-22.984609766288152,-43.19858526840385
Baixo Taquara,-22.91797984434844,-43.3870476615271
